"stop_id","stop_name","stop_lat","stop_lon","source_table","bus_lines"
100383,"HUNTS POINT AV/GILBERT PL","40.817471","-73.888618","bronx","['BX6']"
100384,"HUNTS POINT AV/COSTER ST","40.816071","-73.887581","bronx","['BX6']"
100385,"SPOFFORD AV/BRYANT AV","40.814587","-73.885117","bronx","['BX6']"
100386,"SPOFFORD AV/HALLECK ST","40.815067","-73.881966","bronx","['BX6']"
100414,"SPOFFORD AV/HALLECK ST","40.815235","-73.882347","bronx","['BX6']"
100415,"HUNTS POINT AV/SPOFFORD AV","40.814907","-73.886063","bronx","['BX6']"
100416,"HUNTS POINT AV/FAILE ST","40.81596","-73.887154","bronx","['BX6']"
100417,"HUNTS POINT AV/LAFAYETTE AV","40.816994","-73.888054","bronx","['BX6']"
100419,"HUNTS POINT AV/SENECA AV","40.818939","-73.889221","bronx","['BX6']"
100421,"E 163 ST/SIMPSON ST","40.821068","-73.893265","bronx","['BX6']"
100423,"E 163 ST/INTERVALE AV","40.821095","-73.897354","bronx","['BX6']"
100424,"E 163 ST/WESTCHESTER AV","40.821106","-73.898453","bronx","['BX6']"
100425,"E 163 ST/PROSPECT AV","40.822315","-73.90107","bronx","['BX6']"
100426,"E 163 ST/UNION AV","40.822495","-73.902061","bronx","['BX6']"
100428,"E 163 ST/TRINITY AV","40.823544","-73.906235","bronx","['BX6']"
100431,"E 161 ST/MELROSE AV","40.824406","-73.914215","bronx","['BX13', 'BX6']"
100432,"E 161 ST/COURTLANDT AV","40.82489","-73.915817","bronx","['BX13']"
100433,"E 161 ST/PARK AV","40.825184","-73.916908","bronx","['BX13', 'BX6']"
100435,"E 161 ST/SHERMAN AV","40.82637","-73.920593","bronx","['BX13', 'BX6']"
100449,"BROADWAY/W 225 ST","40.874847","-73.909119","bronx","['BX20', 'BX7']"
100450,"BROADWAY/W 228 ST","40.875698","-73.908195","bronx","['BX9', 'BX20', 'BX7']"
100451,"BROADWAY/EXTERIOR ST","40.876503","-73.906631","bronx","['BX9', 'BX20', 'BX7']"
100459,"HENRY HUDSON PKY E/W 246 ST","40.893963","-73.907906","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100460,"HENRY HUDSON PKY E/W 250 ST","40.897503","-73.907608","bronx","['BX10', 'BX7']"
100461,"HENRY HUDSON PKY E/W 252 ST","40.899136","-73.906776","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100462,"RIVERDALE AV/W 254 ST","40.901966","-73.905785","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100463,"RIVERDALE AV/W 256 ST","40.904308","-73.904839","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100464,"RIVERDALE AV/W 259 ST","40.907139","-73.903908","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100465,"RIVERDALE AV/W 260 ST","40.908718","-73.903473","bronx","['BX10', 'BX7']"
100466,"RIVERDALE AV/W 261 ST","40.910397","-73.90303","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100469,"RIVERDALE AV/W 261 ST","40.910225","-73.903267","bronx","['BXM18', 'BX7', 'BXM1', 'BXM3', 'BXM2', 'BX10']"
100470,"RIVERDALE AV/W 260 ST","40.908489","-73.903786","bronx","['BX10', 'BX7']"
100471,"RIVERDALE AV/W 259 ST","40.906536","-73.904312","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100472,"RIVERDALE AV/W 256 ST","40.903915","-73.905205","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100473,"RIVERDALE AV/W 254 ST","40.901894","-73.906067","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100474,"HENRY HUDSON PKY W/W 252 ST","40.898968","-73.907898","bronx","['BXM1', 'BXM18', 'BXM2', 'BX10', 'BX7']"
100475,"HENRY HUDSON PKY W/W 249 ST","40.896999","-73.908295","bronx","['BX10', 'BX7']"
100482,"KINGSBRIDGE AV/W 230 ST","40.87846","-73.907982","bronx","['BX20', 'BX7']"
100483,"W 230 ST/BROADWAY","40.876854","-73.906975","bronx","['BXM1', 'BXM18', 'BXM2', 'BX20', 'BX7']"
100484,"BROADWAY/W 228 ST","40.875774","-73.908279","bronx","['BX9', 'BX20', 'BX7']"
100485,"BROADWAY/W 225 ST","40.874386","-73.910225","bronx","['BX20', 'BX7']"
100492,"WILLIAMSBRIDGE RD/EASTCHESTER RD","40.84444","-73.846039","bronx","['BX8', 'BX31']"
100493,"WILLIAMSBRIDGE RD/PIERCE AV","40.847385","-73.849167","bronx","['BX8']"
100494,"WILLIAMSBRIDGE RD/MORRIS PK AV","40.850227","-73.851173","bronx","['BX8']"
100495,"WILLIAMSBRIDGE RD/RHINELANDER AV","40.852589","-73.85302","bronx","['BX8']"
100496,"WILLIAMSBRIDGE RD/NEILL AV","40.85453","-73.85453","bronx","['BX8']"
100499,"WILLIAMSBRIDGE RD/ASTOR AV","40.859581","-73.857224","bronx","['BX8']"
100500,"WILLIAMSBRIDGE RD/MACE AV","40.862923","-73.857887","bronx","['BX8']"
100501,"WILLIAMSBRIDGE RD/ALLERTON AV","40.86536","-73.859421","bronx","['BX8']"
100502,"WILLIAMSBRIDGE RD/BOSTON RD","40.867062","-73.860947","bronx","['BX8']"
100503,"BRONXWOOD AV/ARNOW AV","40.868126","-73.861359","bronx","['BX8']"
100504,"BRONXWOOD AV/ADEE AV","40.869469","-73.861313","bronx","['BX8']"
