route_id,trip_id,shape_id
B12,EN_B5-Weekday-046700_Q56_501,B120101
B12,EN_B5-Weekday-052900_B12_11,B120102
B12,EN_B5-Weekday-057400_B15_103,B120101
B12,EN_B5-Weekday-062500_B83_304,B120102
B12,EN_B5-Weekday-067400_B83_304,B120101
B12,EN_B5-Weekday-072000_B83_304,B120102
B12,EN_B5-Weekday-076900_B83_304,B120101
B12,EN_B5-Weekday-082300_B25_226,B120102
B12,EN_B5-Weekday-086400_Q24_422,B120101
B12,EN_B5-Weekday-092300_Q24_422,B120102
B12,EN_B5-Weekday-096700_B12_13,B120101
B12,EN_B5-Weekday-102500_B12_13,B120102
B12,EN_B5-Weekday-108300_B12_13,B120101
B12,EN_B5-Weekday-114000_B12_21,B120102
B12,EN_B5-Weekday-119200_B12_21,B120101
B12,EN_B5-Weekday-125500_B12_19,B120102
B12,EN_B5-Weekday-128300_B12_21,B120101
B12,EN_B5-Weekday-135300_B25_229,B120102
B12,EN_B5-Weekday-137500_Q24_430,B120101
B12,EN_B5-Weekday-027100_B12_5,B120102
B12,EN_B5-Weekday-030500_B12_5,B120101
B12,EN_B5-Weekday-034400_B12_5,B120102
B12,EN_B5-Weekday-038400_B12_5,B120101
B12,EN_B5-Weekday-044300_B12_8,B120102
B12,EN_B5-Weekday-048900_B12_5,B120101
B12,EN_B5-Weekday-054900_B12_8,B120102
B12,EN_B5-Weekday-059200_Q24_403,B120101
B12,EN_B5-Weekday-064600_B12_10,B120102
B12,EN_B5-Weekday-073900_B12_12,B120102
B12,EN_B5-Weekday-078100_Q56_507,B120101
B12,EN_B5-Weekday-084100_B12_12,B120102
B12,EN_B5-Weekday-088400_Q24_412,B120101
B12,EN_B5-Weekday-093900_B12_17,B120102
B12,EN_B5-Weekday-099000_B25_226,B120101
B12,EN_B5-Weekday-104000_B12_18,B120102
B12,EN_B5-Weekday-109800_B12_18,B120101
B12,EN_B5-Weekday-115800_B12_19,B120102
B12,EN_B5-Weekday-120900_B12_19,B120101
B12,EN_B5-Weekday-028600_B12_6,B120102
B12,EN_B5-Weekday-032500_B12_6,B120101
B12,EN_B5-Weekday-036600_B12_6,B120102
B12,EN_B5-Weekday-040700_B12_6,B120101
B12,EN_B5-Weekday-046700_Q24_411,B120102
B12,EN_B5-Weekday-051300_B12_6,B120101
B12,EN_B5-Weekday-031400_B12_7,B120102
B12,EN_B5-Weekday-035200_B12_7,B120101
B12,EN_B5-Weekday-039600_B12_7,B120102
B12,EN_B5-Weekday-044400_B12_7,B120101
B12,EN_B5-Weekday-049600_B12_7,B120102
B12,EN_B5-Weekday-054100_Q56_519,B120101
B12,EN_B5-Weekday-037400_B15_103,B120101
B12,EN_B5-Weekday-043500_B12_5,B120102
B12,EN_B5-Weekday-048000_B12_11,B120101
B12,EN_B5-Weekday-035100_B12_8,B120102
B12,EN_B5-Weekday-039200_B12_8,B120101
B12,EN_B5-Weekday-045100_Q56_508,B120102
B12,EN_B5-Weekday-049700_B12_8,B120101
B12,EN_B5-Weekday-055500_B83_308,B120102
B12,EN_B5-Weekday-059800_B12_8,B120101
B12,EN_B5-Weekday-065300_B15_117,B120102
B12,EN_B5-Weekday-069700_B12_10,B120101
B12,EN_B5-Weekday-074500_B12_10,B120102
B12,EN_B5-Weekday-078700_B12_12,B120101
B12,EN_B5-Weekday-084700_B12_10,B120102
B12,EN_B5-Weekday-089000_B12_14,B120101
B12,EN_B5-Weekday-094500_B12_14,B120102
B12,EN_B5-Weekday-099600_B12_17,B120101
B12,EN_B5-Weekday-104800_B12_19,B120102
B12,EN_B5-Weekday-110500_B12_19,B120101
B12,EN_B5-Weekday-035900_Q56_508,B120102
