shape_id,meters
B150227-48,287.2447611
B150227-49,98.70946546
B150227-5,726.8954003
B150227-50,101.5576434
B150227-51,186.6866425
B150227-52,233.4937949
B150227-53,229.1661849
B150227-54,241.4047793
B150227-55,134.6015797
B150227-56,167.8549194
B150227-57,179.8048016
B150227-58,218.4890117
B150227-59,161.5983307
B150227-6,"1,473.71"
B150227-60,120.1132716
B150227-61,219.9445808
B150227-62,153.5120848
B150227-63,166.9540639
B150227-64,248.3463511
B150227-65,156.815425
B150227-66,177.9500036
B150227-67,72.28827583
B150227-68,163.0071506
B150227-69,174.6712621
B150227-7,"3,178.96"
B150227-70,157.9393712
B150227-71,130.2062007
B150227-72,261.8439867
B150227-8,243.1887473
B150227-9,164.1907885
B160049-1,151.7897573
B160049-10,245.7694915
B160049-11,187.1991519
B160049-12,300.5257429
B160049-13,206.5335731
B160049-14,208.4393579
B160049-15,198.4654377
B160049-16,198.4179801
B160049-17,205.5680052
B160049-18,169.4444762
B160049-19,116.7771028
B160049-2,159.7260665
B160049-20,138.0822915
B160049-21,158.1168256
B160049-22,195.3508371
B160049-23,127.4876846
B160049-24,161.8692576
B160049-25,173.1264092
B160049-26,159.5074266
B160049-27,119.6869115
B160049-28,130.7323176
B160049-29,246.7631251
B160049-3,166.5927505
B160049-30,217.365636
B160049-31,239.1212051
B160049-32,189.5659977
B160049-33,108.3911141
B160049-34,173.0070448
B160049-35,239.6058668
B160049-36,238.8196209
B160049-37,237.8454141
B160049-38,239.1308087
B160049-39,237.3832481
B160049-4,244.3120164
B160049-40,158.3931062
B160049-41,254.1045585
B160049-42,280.2002796
B160049-43,123.5103315
B160049-44,270.4847991
B160049-45,269.3907818
B160049-46,302.2721584
B160049-47,253.4693848
B160049-48,127.7571878
B160049-49,243.1705227
B160049-5,231.1279821
B160049-50,96.88422347
B160049-51,295.0772737
B160049-52,168.66674
B160049-53,170.6277416
B160049-54,214.4301305
B160049-55,157.8018143
B160049-56,295.4704876
B160049-57,244.2823568
B160049-58,397.6418617
B160049-59,303.3977302
B160049-6,300.4172156
B160049-60,287.6082497
B160049-7,136.5001588
B160049-8,237.7313867
B160049-9,282.9563393
B160050-1,160.0146899
B160050-10,184.6144109
B160050-11,155.3864947
B160050-12,135.3267735
B160050-13,251.6626305
B160050-14,359.6679058
B160050-15,301.1242393
B160050-16,189.3954436
B160050-17,210.4017253
B160050-18,154.7533048
B160050-19,157.6895327
B160050-2,308.9039663
B160050-20,159.2096709
B160050-21,159.4289912
B160050-22,153.67104
B160050-23,81.12332103
B160050-24,162.2482036
B160050-25,113.006596
B160050-26,204.3282638
B160050-27,315.0359027
B160050-28,245.2738539
B160050-29,184.019176
B160050-3,322.961324
B160050-30,130.5913695
B160050-31,164.5025027
B160050-32,115.8582429
B160050-33,187.4852145
B160050-34,198.8814212
B160050-35,189.8061193
B160050-36,127.458621
B160050-37,195.7986365
B160050-38,165.8811632
B160050-39,233.0781776
B160050-4,247.8762765
B160050-40,180.1203033
B160050-41,158.7841738
B160050-42,158.6059566
B160050-43,255.1426397
B160050-44,166.5451385
B160050-45,254.729101
B160050-46,185.2708294
B160050-47,289.3294742
B160050-48,239.637496
B160050-49,328.2734889
B160050-5,202.6737585
B160050-50,171.9658817
B160050-51,181.6205646
B160050-52,171.901696
B160050-53,319.4958073
B160050-54,189.1127707
B160050-55,234.6345624
B160050-56,164.8444925
B160050-57,156.9002017
B160050-58,262.5362746
B160050-59,186.9676655
B160050-6,160.445492
B160050-60,87.19217784
B160050-61,118.0762169
B160050-62,201.5343746
B160050-7,300.8756152
B160050-8,285.652987
B160050-9,303.2553209
B160051-1,210.4017253
B160051-10,204.3282638
B160051-11,315.0359027
B160051-12,245.2738539
B160051-13,184.019176
B160051-14,130.5913695
B160051-15,164.5025027
B160051-16,115.8582429
B160051-17,187.4852145
B160051-18,198.8814212
B160051-19,189.8061193
B160051-2,154.7533048
B160051-20,127.458621
B160051-21,195.7986365
B160051-22,165.8811632
B160051-23,233.0781776
B160051-24,180.1203033
B160051-25,158.7841738
B160051-26,158.6059566
B160051-27,255.1426397
B160051-28,166.5451385
B160051-29,254.729101
B160051-3,157.6895327
B160051-30,185.2708294
B160051-31,289.3294742
B160051-32,239.637496
B160051-33,328.2734889
B160051-34,171.9658817
B160051-35,181.6205646
B160051-36,171.901696
B160051-37,319.4958073
B160051-38,189.1127707
B160051-39,234.6345624
B160051-4,159.2096709
B160051-40,164.8444925
B160051-41,156.9002017
B160051-42,262.5362746
B160051-43,186.9676655
B160051-44,87.19217784
B160051-45,118.0762169
B160051-46,201.5343746
B160051-5,159.4289912
B160051-6,153.67104
B160051-7,81.12332103
B160051-8,162.2482036
B160051-9,113.006596
B170061-1,199.3729387
B170061-10,224.8726129
B170061-11,262.4452363
B170061-12,238.1691542
B170061-13,281.1967487
B170061-14,258.5856873
B170061-15,182.5758898
B170061-16,380.2802234
B170061-17,208.0723632
B170061-18,247.2081017
B170061-19,154.2134262
B170061-2,245.3634465
B170061-20,262.4377922
B170061-21,256.2445214
B170061-22,233.2911474
B170061-23,248.6471087
B170061-24,155.2956926
B170061-25,132.1853815
B170061-26,180.6353605
B170061-27,233.2642259
B170061-28,246.446633
B170061-29,236.4634644
B170061-3,421.2218838
B170061-30,303.0273386
B170061-31,252.8796696
B170061-32,251.2094066
B170061-33,153.8943376
B170061-34,93.32497662
B170061-35,194.7236398
B170061-36,231.6209629
B170061-37,236.1891245
B170061-38,207.3042106
B170061-4,161.3665366
B170061-5,161.4709658
B170061-6,243.7742476
B170061-7,226.4810842
B170061-8,250.14846
B170061-9,245.3613264
B170069-1,216.8443123
B170069-10,239.2680445
B170069-11,226.4810842
B170069-12,250.14846
B170069-13,245.3613264
B170069-14,219.1761183
B170069-15,208.0723632
B170069-16,247.2081017
B170069-17,154.2134262
B170069-18,262.4377922
B170069-19,256.2445214
B170069-2,247.9200606
B170069-20,233.2911474
B170069-21,248.6471087
B170069-22,155.2956926
B170069-23,132.1853815
B170069-24,180.6353605
B170069-25,233.2642259
B170069-26,246.446633
B170069-27,236.4634644
B170069-28,303.0273386
B170069-29,252.8796696
B170069-3,187.9468198
B170069-30,251.2094066
B170069-31,153.8943376
B170069-32,93.32497662
B170069-33,194.7236398
B170069-34,231.6209629
B170069-35,236.1891245
B170069-36,207.3042106
B170069-4,221.1367572
B170069-5,232.7978105
B170069-6,161.3542131
B170069-7,198.8668558
B170069-8,292.124528
B170069-9,230.070662
B170070-1,317.8742641
B170070-10,241.9746398
B170070-11,233.866825
B170070-12,165.761565
B170070-13,261.8876173
B170070-14,253.4331374
B170070-15,244.0734045
B170070-16,247.5657923
B170070-17,246.2207842
B170070-18,228.5460871
B170070-19,276.1579731
B170070-2,233.1125829
B170070-20,261.9147948
B170070-21,178.2987046
B170070-22,173.2641459
B170070-23,231.7478305
B170070-24,261.9091372
B170070-25,225.2206873
B170070-26,150.0654351
B170070-27,156.5422088
B170070-28,164.740908
B170070-29,121.705782
B170070-3,234.6611766
B170070-30,165.3663945
B170070-31,237.2447907
B170070-32,252.0444856
B170070-33,252.9231781
B170070-34,248.8675011
B170070-4,199.8710973
B170070-5,242.328357
B170070-6,153.770826
B170070-7,284.6687459
B170070-8,171.4954166
B170070-9,320.1253071
B170071-1,317.8742641
B170071-10,241.9746398
B170071-11,233.866825
B170071-12,165.761565
B170071-13,261.8876173
B170071-14,253.4331374
B170071-15,244.0734045
B170071-16,214.7875945
