stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300357,"EMMONS AV/E 26 ST",,  40.583794, -73.942947,,,0,
300358,"EMMONS AV/DOOLEY ST",,  40.583817, -73.945198,,,0,
300361,"AV Z/OCEAN AV",,  40.588531, -73.949814,,,0,
300362,"AV Z/E 18 ST",,  40.588299, -73.951881,,,0,
300363,"E 16 ST/SHEEPSHEAD BAY RD",,  40.587307, -73.953339,,,0,
300364,"SHEEPSHEAD BAY RD/VOORHIES AV",,  40.585648, -73.951767,,,0,
300366,"SHEEPSHEAD BAY RD/EMMONS AV",,  40.583607, -73.950546,,,0,
300367,"EMMONS AV/E 16 ST",,  40.583241, -73.953293,,,0,
300368,"EMMONS AV/E 14 ST",,  40.583126, -73.954590,,,0,
300369,"NEPTUNE AV/E 12 ST",,  40.582523, -73.957626,,,0,
300370,"NEPTUNE AV/CONEY ISLAND AV",,  40.581932, -73.960434,,,0,
300372,"NEPTUNE AV/BRIGHTON 6 ST",,  40.581326, -73.963264,,,0,
300373,"NEPTUNE AV/BRIGHTON 4 ST",,  40.580967, -73.964966,,,0,
300374,"NEPTUNE AV/OCEAN PY",,  40.580502, -73.967148,,,0,
300377,"AV Z/OCEAN PY",,  40.586655, -73.966820,,,0,
300378,"AV Z/WEST ST",,  40.586380, -73.969322,,,0,
300379,"AV Z/W 2 ST",,  40.586178, -73.971153,,,0,
300380,"AV Z/SHELL RD",,  40.585850, -73.974182,,,0,
300381,"SHELL RD/BOUCK CT",,  40.589020, -73.974052,,,0,
300388,"STILLWELL AV/AV S",,  40.600655, -73.985901,,,0,
300389,"STILLWELL AV/HIGHLAWN AV",,  40.602962, -73.986336,,,0,
300390,"STILLWELL AV/QUENTIN RD",,  40.604988, -73.986717,,,0,
300391,"STILLWELL AV/KINGS HY",,  40.605877, -73.986877,,,0,
300393,"BAY RIDGE PY/BAY PY",,  40.608429, -73.987625,,,0,
300394,"BAY RIDGE PY/21 AV",,  40.609768, -73.989838,,,0,
300395,"BAY RIDGE PY/20 AV",,  40.611088, -73.992020,,,0,
300396,"BAY RIDGE PY/19 AV",,  40.612438, -73.994247,,,0,
300397,"BAY RIDGE PY/18 AV",,  40.613365, -73.995796,,,0,
300398,"BAY RIDGE PY/17 AV",,  40.615089, -73.998642,,,0,
300399,"BAY RIDGE PY/NEW UTRECHT AV",,  40.616081, -74.000290,,,0,
300400,"BAY RIDGE PY/15 AV",,  40.617908, -74.003311,,,0,
300401,"BAY RIDGE PY/14 AV",,  40.619213, -74.005470,,,0,
300402,"BAY RIDGE PY/13 AV",,  40.620289, -74.007248,,,0,
300403,"BAY RIDGE PY/12 AV",,  40.621620, -74.009460,,,0,
300404,"BAY RIDGE PY/11 AV",,  40.623207, -74.012085,,,0,
300405,"BAY RIDGE PY/10 AV",,  40.624527, -74.014267,,,0,
300406,"BAY RIDGE PY/FT HAMILTON PY",,  40.625744, -74.016281,,,0,
300407,"BAY RIDGE PY/7 AV",,  40.626591, -74.017670,,,0,
