shape_id,segment_id,meters_accumulated
B160050,33,6768.47
B160050,34,6967.35
B160050,35,7157.16
B160050,36,7284.62
B160050,37,7480.42
B160050,38,7646.3
B160050,39,7879.38
B160050,40,8059.5
B160050,41,8218.28
B160050,42,8376.89
B160050,43,8632.03
B160050,44,8798.58
B160050,45,9053.31
B160050,46,9238.58
B160050,47,9527.91
B160050,48,9767.55
B160050,49,10095.82
B160050,50,10267.79
B160050,51,10449.41
B160050,52,10621.31
B160050,53,10940.81
B160050,54,11129.92
B160050,55,11364.55
B160050,56,11529.39
B160050,57,11686.29
B160050,58,11948.83
B160050,59,12135.8
B160050,60,12222.99
B160050,61,12341.07
B160050,62,12542.6
B160051,1,210.4
B160051,2,365.15
B160051,3,522.84
B160051,4,682.05
B160051,5,841.48
B160051,6,995.15
B160051,7,1076.27
B160051,8,1238.52
B160051,9,1351.53
B160051,10,1555.86
B160051,11,1870.9
B160051,12,2116.17
B160051,13,2300.19
B160051,14,2430.78
B160051,15,2595.28
B160051,16,2711.14
B160051,17,2898.63
B160051,18,3097.51
B160051,19,3287.32
B160051,20,3414.78
B160051,21,3610.58
B160051,22,3776.46
B160051,23,4009.54
B160051,24,4189.66
B160051,25,4348.44
B160051,26,4507.05
B160051,27,4762.19
B160051,28,4928.74
B160051,29,5183.47
B160051,30,5368.74
B160051,31,5658.07
B160051,32,5897.71
B160051,33,6225.98
B160051,34,6397.95
B160051,35,6579.57
B160051,36,6751.47
B160051,37,7070.97
B160051,38,7260.08
B160051,39,7494.71
B160051,40,7659.55
B160051,41,7816.45
B160051,42,8078.99
B160051,43,8265.96
B160051,44,8353.15
B160051,45,8471.23
B160051,46,8672.76
B170061,1,199.37
B170061,2,444.73
B170061,3,865.95
B170061,4,1027.32
B170061,5,1188.79
B170061,6,1432.56
B170061,7,1659.04
B170061,8,1909.19
B170061,9,2154.55
B170061,10,2379.42
B170061,11,2641.87
B170061,12,2880.04
B170061,13,3161.24
B170061,14,3419.83
B170061,15,3602.41
B170061,16,3982.69
B170061,17,4190.76
B170061,18,4437.97
B170061,19,4592.18
B170061,20,4854.62
B170061,21,5110.86
B170061,22,5344.15
B170061,23,5592.8
B170061,24,5748.1
B170061,25,5880.29
B170061,26,6060.93
B170061,27,6294.19
B170061,28,6540.64
B170061,29,6777.1
B170061,30,7080.13
B170061,31,7333.01
B170061,32,7584.22
B170061,33,7738.11
B170061,34,7831.43
B170061,35,8026.15
B170061,36,8257.77
B170061,37,8493.96
B170061,38,8701.26
B170069,1,216.84
B170069,2,464.76
B170069,3,652.71
B170069,4,873.85
B170069,5,1106.65
B170069,6,1268
B170069,7,1466.87
B170069,8,1758.99
B170069,9,1989.06
B170069,10,2228.33
B170069,11,2454.81
B170069,12,2704.96
B170069,13,2950.32
B170069,14,3169.5
B170069,15,3377.57
B170069,16,3624.78
B170069,17,3778.99
B170069,18,4041.43
B170069,19,4297.67
B170069,20,4530.96
B170069,21,4779.61
B170069,22,4934.91
B170069,23,5067.1
B170069,24,5247.74
B170069,25,5481
B170069,26,5727.45
B170069,27,5963.91
B170069,28,6266.94
B170069,29,6519.82
B170069,30,6771.03
B170069,31,6924.92
B170069,32,7018.24
B170069,33,7212.96
B170069,34,7444.58
B170069,35,7680.77
B170069,36,7888.07
B170070,1,317.87
B170070,2,550.98
B170070,3,785.64
B170070,4,985.51
B170070,5,1227.84
B170070,6,1381.61
B170070,7,1666.28
B170070,8,1837.78
B170070,9,2157.91
B170070,10,2399.88
B170070,11,2633.75
B170070,12,2799.51
B170070,13,3061.4
B170070,14,3314.83
B170070,15,3558.9
B170070,16,3806.47
B170070,17,4052.69
B170070,18,4281.24
B170070,19,4557.4
B170070,20,4819.31
B170070,21,4997.61
B170070,22,5170.87
B170070,23,5402.62
B170070,24,5664.53
B170070,25,5889.75
B170070,26,6039.82
B170070,27,6196.36
B170070,28,6361.1
B170070,29,6482.81
B170070,30,6648.18
B170070,31,6885.42
B170070,32,7137.46
B170070,33,7390.38
B170070,34,7639.25
B170071,1,317.87
B170071,2,550.98
B170071,3,785.64
B170071,4,985.51
B170071,5,1227.84
B170071,6,1381.61
B170071,7,1666.28
B170071,8,1837.78
B170071,9,2157.91
B170071,10,2399.88
B170071,11,2633.75
B170071,12,2799.51
B170071,13,3061.4
B170071,14,3314.83
B170071,15,3558.9
B170071,16,3773.69
B170071,17,3996.93
B170071,18,4228.68
B170071,19,4490.59
B170071,20,4706.61
B170071,21,4947.6
B170071,22,5188.28
B170071,23,5373.52
B170071,24,5475.1
B170071,25,5677.35
B170071,26,5831.65
B170071,27,6038.19
B170071,28,6198.37
B170071,29,6374.43
B170071,30,6601.31
B170071,31,6997.47
B1C0047,1,1.16
B1C0047,2,295.08
B1C0047,3,433.69
B1C0047,4,567.17
B1C0047,5,853.19
B1C0047,6,1010.31
B1C0047,7,1124.61
B1C0047,8,1331.38
B1C0047,9,1514.08
B1C0047,10,1668.5
B1C0047,11,1880.81
B1C0047,12,2076.71
B1C0047,13,2232.06
B1C0047,14,2386.58
B1C0047,15,2486.54
B1C0047,16,2852.6
B1C0047,17,3018.49
B1C0047,18,3153.53
B1C0047,19,3613.02
B1C0047,20,4303.57
B1C0047,21,4558.76
B1C0047,22,4716.99
B1C0047,23,4885.77
B1C0047,24,5005.04
B1C0047,25,5233.77
B1C0047,26,5434.68
B1C0047,27,5680
B1C0047,28,5911.16
B1C0047,29,6022.57
B1C0047,30,6203.37
B1C0047,31,6411.68
B1C0047,32,6647.99
B1C0047,33,6884.1
B1C0047,34,7124.63
B1C0047,35,7368.82
B1C0047,36,7605.63
B1C0047,37,7843.93
B1C0047,38,7908.11
B1C0047,39,8128.93
B1C0047,40,8368.36
B1C0047,41,8633.87
B1C0047,42,8876.33
B1C0047,43,9118.46
B1C0047,44,9297.25
B1C0047,45,9584.03
B1C0047,46,9821.41
B1C0047,47,10140.89
B1C0047,48,10490.32
B1C0047,49,10637.99
B1C0047,50,10898.47
B1C0048,1,155.06
B1C0048,2,361.59
B1C0048,3,567.94
B1C0048,4,720.93
B1C0048,5,921.53
B1C0048,6,1220.82
B1C0048,7,1418.51
B1C0048,8,1703.5
B1C0048,9,1892.94
B1C0048,10,2183.9
B1C0048,11,2367.48
B1C0048,12,2682.36
B1C0048,13,2922.2
B1C0048,14,3110.52
B1C0048,15,3352.72
B1C0048,16,3581.97
B1C0048,17,3823.36
B1C0048,18,4067.28
B1C0048,19,4301.22
B1C0048,20,4543.67
B1C0048,21,4731.2
B1C0048,22,4963.51
B1C0048,23,5293.62
B1C0048,24,5460.28
B1C0048,25,5658.64
B1C0048,26,5995.43
B1C0048,27,6245.03
B1C0048,28,6409.37
B1C0048,29,6561.54
B1C0048,30,6695.02
B1C0048,31,7454.43
B1C0048,32,7810.77
B1C0048,33,7936.12
B1C0048,34,8201.9
B1C0048,35,8480.82
B1C0048,36,8672.03
B1C0048,37,8818.88
B1C0048,38,9016.19
B1C0048,39,9166.14
B1C0048,40,9356.04
B1C0048,41,9570.43
B1C0048,42,9678.29
B1C0048,43,9826.86
B1C0048,44,10043.45
B1C0048,45,10191.54
B1C0048,46,10312.39
B1C0048,47,10602.69
B1C0048,48,10839.23
B1C0048,49,10951.73
B200051,1,199.8
B200051,2,534.18
B200051,3,649.08
B200051,4,740.95
B200051,5,855.74
B200051,6,1026.2
B200051,7,1183.52
B200051,8,1357.3
B200051,9,1670.03
B200051,10,1908.25
B200051,11,2023.25
B200051,12,2500.54
B200051,13,2689.1
B200051,14,2825.73
B200051,15,3115.81
B200051,16,3301.08
B200051,17,3658.48
B200051,18,3816.91
B200051,19,4002.78
B200051,20,4133.71
B200051,21,4383.14
B200051,22,4631.09
B200051,23,4740.02
B200051,24,4980.06
B200051,25,5133.99
B200051,26,5308.48
B200051,27,5483.31
B200051,28,5623.41
B200051,29,5775.51
B200051,30,6009.97
B200051,31,6150.43
B200051,32,6584.23
B200051,33,6728.52
B200051,34,7091.83
