shape_id,sequence_id,meters,stop_id
S740270,22,8815.6,203570
S740270,23,9524.8,202089
S740270,24,9875.1,202289
S740270,25,10335.7,202090
S740270,26,10594.9,202091
S740270,27,10894.8,203118
S740270,28,11201.8,203080
S740270,29,11735.9,202861
S740270,30,12196.3,202094
S740270,31,12618.7,202095
S740270,32,12818.9,202096
S740270,33,13240.7,905046
S740270,34,13712.9,203093
S740270,35,14052.7,202099
S740270,36,14325.6,202100
S740270,37,14491.2,202101
S740270,38,14729.1,200496
S740270,39,15016.8,202103
S740270,40,15208.2,202724
S740270,41,15439.3,203113
S740270,42,15689.8,202800
S740270,43,15827.4,203655
S740270,44,16168.9,202651
S740270,45,16517.2,203625
S740270,46,16796.9,203644
S740270,47,16986.0,200507
S740270,48,17186.1,200508
S740270,49,17490.4,200509
S740270,50,17754.1,203672
S740270,51,17982.5,201373
S740270,52,18272.8,203012
S740270,53,18459.9,201459
S740270,54,18565.6,202121
S740270,55,18749.7,202122
S740270,56,19041.5,202123
S740270,57,19200.1,202124
S740270,58,19320.3,202125
S740270,59,19556.0,201593
S740270,60,19853.5,202581
S740270,61,20073.2,201595
S740270,62,20323.7,201596
S740270,63,20571.3,201597
S740270,64,20847.1,201598
S740270,65,21309.8,201600
S740270,66,21470.8,201601
S740270,67,21694.3,201602
S740270,68,21858.3,203057
S740270,69,22016.9,201604
S740270,70,22215.6,201605
S740270,71,22418.8,201606
S740270,72,22583.5,203204
S740270,73,22843.7,201608
S740270,74,23063.4,201609
S740270,75,23252.1,203638
S740270,76,23550.1,201611
S740270,77,23732.2,201612
S740270,78,23896.4,201613
S740270,79,24014.2,202147
S740270,80,24236.2,203471
S740270,81,24507.1,202149
S740270,82,24664.6,202150
S740270,83,24925.1,202151
S740270,84,25079.8,202152
S740270,85,25285.5,202153
S740270,86,25578.5,202788
S740270,87,26027.2,201064
S740270,88,26368.1,201623
S740270,89,26597.2,201066
S740270,90,26866.4,200152
S740270,91,27068.6,200153
S740270,92,27293.2,200154
S740270,93,27572.8,203650
S740270,94,27932.3,805015
S740271,2,2105.1,202073
S740271,3,2535.8,905130
S740271,4,2812.5,203545
S740271,5,3180.5,203546
S740271,6,3372.9,202076
S740271,7,3480.2,203071
S740271,8,3710.0,202078
S740271,9,3885.7,202079
S740271,10,4484.9,202080
S740271,11,4954.6,202083
S740271,12,5428.1,202084
S740271,13,5694.6,203526
S740271,14,6105.8,203527
S740271,15,6409.7,203528
S740271,16,7143.3,203572
S740271,17,7442.0,203531
S740271,18,7671.9,203551
S740271,19,7868.1,203532
S740271,20,8270.8,203533
S740271,21,8506.3,203534
S740271,22,8815.6,203570
S740271,23,9524.8,202089
S740271,24,9875.1,202289
S740271,25,10335.7,202090
S740271,26,10594.9,202091
S740271,27,10894.8,203118
S740271,28,11201.8,203080
S740271,29,11735.9,202861
S740271,30,12196.3,202094
S740271,31,12618.7,202095
S740271,32,12818.9,202096
S740271,33,13240.7,905046
S740271,34,13712.9,203093
S740271,35,14052.7,202099
S740271,36,14325.6,202100
S740271,37,14491.2,202101
S740271,38,14729.1,200496
S740271,39,15016.8,202103
S740271,40,15208.2,202724
S740271,41,15439.3,203113
S740271,42,15689.8,202800
S740271,43,15827.4,203655
S740271,44,16168.9,202651
S740271,45,16517.2,203625
S740271,46,16796.9,203644
S740271,47,16986.0,200507
S740271,48,17186.1,200508
S740271,49,17490.4,200509
S740271,50,17754.1,203672
S740271,51,17982.5,201373
S740271,52,18272.8,203012
S740271,53,18459.9,201459
S740271,54,18565.6,202121
S740271,55,18749.7,202122
S740271,56,19041.5,202123
S740271,57,19200.1,202124
S740271,58,19320.3,202125
S740271,59,19556.0,201593
S740271,60,19853.5,202581
S740271,61,20073.2,201595
S740271,62,20323.7,201596
S740271,63,20571.3,201597
S740271,64,20847.1,201598
S740271,65,21309.8,201600
S740271,66,21470.8,201601
S740271,67,21694.3,201602
S740271,68,21858.3,203057
S740271,69,22016.9,201604
S740271,70,22215.6,201605
S740271,71,22418.8,201606
S740271,72,22583.5,203204
S740271,73,22843.7,201608
S740271,74,23063.4,201609
S740271,75,23252.1,203638
S740271,76,23550.1,201611
S740271,77,23732.2,201612
S740271,78,23896.4,201613
S740271,79,24014.2,202147
S740271,80,24236.2,203471
S740271,81,24507.1,202149
S740271,82,24664.6,202150
S740271,83,24925.1,202151
S740271,84,25079.8,202152
S740271,85,25285.5,202153
S740271,86,25578.5,202788
S740271,87,26027.2,201064
S740271,88,26368.1,201623
S740271,89,26597.2,201066
S740271,90,26866.4,200152
S740271,91,27068.6,200153
S740271,92,27293.2,200154
S740271,93,27572.8,203650
S740271,94,27932.3,805015
X380115,1,0.0,302869
X380115,2,395.0,308417
X380115,3,1205.0,306922
X380115,4,1416.8,302794
X380115,5,1747.4,306656
X380115,6,2112.9,302798
X380115,7,2335.2,308592
X380115,8,3287.0,308411
X380115,9,3620.4,300418
X380115,10,4052.6,300420
X380115,11,4426.6,300422
X380115,12,4562.6,307738
X380115,13,4962.3,300424
X380115,14,5129.6,308595
X380115,15,5602.0,307957
X380115,16,6167.6,307956
X380115,17,6666.4,300914
X380115,18,6895.7,300915
X380115,19,7573.2,305500
X380115,20,7909.1,300044
X380115,21,8340.8,305503
X380115,22,8897.5,305505
X380115,26,27622.1,402143
X380115,27,28065.5,402145
X380115,28,28332.7,903064
X380115,29,28688.6,404900
X380115,30,29020.2,404901
X380115,31,29372.8,404902
X380115,32,29647.5,404903
X380115,33,30052.0,404879
X380115,34,30546.8,404299
X380115,35,30974.4,404906
X380115,36,31266.5,404907
X380116,1,0.0,308411
X380116,2,333.4,300418
X380116,3,765.5,300420
X380116,4,1139.6,300422
X380116,5,1275.6,307738
X380116,6,1675.3,300424
X380116,7,1842.6,308595
X380116,8,2315.0,307957
X380116,9,2880.6,307956
X380116,10,3379.4,300914
X380116,11,3608.7,300915
X380116,12,4286.2,305500
X380116,13,4622.1,300044
X380116,14,5053.8,305503
X380116,15,5610.5,305505
X380116,19,24335.1,402143
X380116,20,24778.5,402145
X380116,21,25045.6,903064
X380116,22,25401.5,404900
X380116,23,25733.2,404901
X380116,24,26085.8,404902
X380116,25,26360.5,404903
X380116,26,26764.9,404879
X380116,27,27259.8,404299
X380116,28,27687.4,404906
X380116,29,27979.5,404907
S520095,1,0.0,202981
S520095,2,283.6,201235
S520095,3,600.7,201236
S520095,4,871.7,201237
S520095,5,1103.1,201238
S520095,6,1244.8,200280
S520095,7,1430.8,200281
S520095,8,1687.3,201241
S520095,9,1973.6,200754
S520095,10,2123.6,200755
S520095,11,2229.0,200756
S520095,12,2469.8,200757
S520095,13,2756.5,200758
S520095,14,2967.4,202608
S520095,15,3141.2,200760
S520095,16,3270.5,200761
S520095,17,3508.7,200762
S520095,18,3620.5,200763
S520095,19,3785.9,200764
S520095,20,4127.8,200765
S520095,21,4421.1,203650
S520095,22,4830.5,805014
B490170,1,0.0,307665
B490170,2,187.8,303878
B490170,3,366.5,303966
B490170,4,552.2,303967
B490170,5,695.9,303968
B490170,6,894.9,303969
B490170,7,1052.9,303970
B490170,8,1204.9,303971
B490170,9,1334.1,303972
B490170,10,1604.7,306500
B490170,11,1704.7,303974
B490170,12,1910.9,303975
B490170,13,2181.5,303976
B490170,14,2332.9,303977
B490170,15,2495.0,303978
B490170,16,2656.7,303979
B490170,17,2872.5,306496
B490170,18,3010.5,303981
B490170,19,3103.1,303982
B490170,20,3243.7,303983
B490170,21,3407.9,303984
